source_id,series_id,year,value,unit,status,scope_note
mf_state_final_account_2015,state_organisational_units,2015,190438,average_employees,official,State organisational units actual average employees; table 63
mf_state_final_account_2015,state_contributory_organisations,2015,232007,average_employees,official,State and state-financed contributory organisations actual average employees; table 63
mf_state_final_account_2015,state_employees_labour_service,2015,107588,average_employees,official,Employees under the Labour Code and Civil Service Act in state organisational units; table 63
mf_state_final_account_2015,state_uniformed_and_soldiers,2015,81581,average_employees,official,Members of security forces and soldiers in state organisational units; table 63
mf_state_final_account_2015,state_prosecutors_and_derived,2015,1269,average_employees,official,Prosecutors and derived constitutional office holders; table 63
mf_state_final_account_2015,state_regional_education_budget,2015,218509,average_employees,official,Regional education financed through chapter 333 and territorial self-governments; table 63
mf_state_final_account_2015,state_organisational_avg_salary_czk,2015,30691,CZK_month,official,Average gross monthly salary in state organisational units; table 64
mf_state_final_account_2015,state_labour_service_avg_salary_czk,2015,28359,CZK_month,official,Average gross monthly salary for Labour Code and Civil Service Act employees; table 64
mf_state_final_account_2015,state_uniformed_avg_salary_czk,2015,32500,CZK_month,official,Average gross monthly salary for security-force members and soldiers; table 64
mf_state_final_account_2015,state_prosecutors_avg_salary_czk,2015,112064,CZK_month,official,Average gross monthly salary for prosecutors and derived office holders; table 64
mf_state_final_account_2015,state_contributory_avg_salary_czk,2015,23774,CZK_month,official,Average gross monthly salary in contributory organisations; table 64
mf_state_final_account_2015,state_regional_education_avg_salary_czk,2015,23692,CZK_month,official,Average gross monthly salary in regional education inside the regulated sphere; table 64
mf_state_final_account_2024,state_organisational_units,2023,197417,average_employees,official,State organisational units actual average employees
mf_state_final_account_2024,state_contributory_organisations,2023,286711,average_employees,official,State and state-financed contributory organisations actual average employees
mf_state_final_account_2024,state_employees_labour_service,2023,108108,average_employees,official,Employees under the Labour Code and Civil Service Act in state organisational units
mf_state_final_account_2024,state_employees_labour_service,2024,105458,average_employees,official,Employees under the Labour Code and Civil Service Act in state organisational units
mf_state_final_account_2024,state_uniformed_and_soldiers,2023,88013,average_employees,official,Members of security forces and soldiers in state organisational units
mf_state_final_account_2024,state_uniformed_and_soldiers,2024,88946,average_employees,official,Members of security forces and soldiers in state organisational units
mf_state_final_account_2024,state_prosecutors_and_derived,2023,1296,average_employees,official,Prosecutors and derived constitutional office holders
mf_state_final_account_2024,state_prosecutors_and_derived,2024,1285,average_employees,official,Prosecutors and derived constitutional office holders
mf_state_final_account_2024,state_regional_education_budget,2023,272007,average_employees,official,Regional education financed through chapter 333 and territorial self-governments
mf_state_final_account_2024,state_regional_education_budget,2024,276856,average_employees,official,Regional education financed through chapter 333 and territorial self-governments
mf_state_final_account_2024,state_organisational_avg_salary_czk,2023,47911,CZK_month,official,Average gross monthly salary in state organisational units
mf_state_final_account_2024,state_organisational_avg_salary_czk,2024,48756,CZK_month,official,Average gross monthly salary in state organisational units
mf_state_final_account_2024,state_labour_service_avg_salary_czk,2023,43077,CZK_month,official,Average gross monthly salary for Labour Code and Civil Service Act employees
mf_state_final_account_2024,state_labour_service_avg_salary_czk,2024,44245,CZK_month,official,Average gross monthly salary for Labour Code and Civil Service Act employees
mf_state_final_account_2024,state_uniformed_avg_salary_czk,2023,52420,CZK_month,official,Average gross monthly salary for security-force members and soldiers
mf_state_final_account_2024,state_uniformed_avg_salary_czk,2024,52688,CZK_month,official,Average gross monthly salary for security-force members and soldiers
mf_state_final_account_2024,state_prosecutors_avg_salary_czk,2023,144873,CZK_month,official,Average gross monthly salary for prosecutors and derived office holders
mf_state_final_account_2024,state_prosecutors_avg_salary_czk,2024,146715,CZK_month,official,Average gross monthly salary for prosecutors and derived office holders
mf_state_final_account_2024,state_contributory_avg_salary_czk,2023,42027,CZK_month,official,Average gross monthly salary in contributory organisations
mf_state_final_account_2024,state_contributory_avg_salary_czk,2024,42978,CZK_month,official,Average gross monthly salary in contributory organisations
mf_state_final_account_2024,state_regional_education_avg_salary_czk,2023,42065,CZK_month,official,Average gross monthly salary in regional education inside the regulated sphere
mf_state_final_account_2024,state_regional_education_avg_salary_czk,2024,42968,CZK_month,official,Average gross monthly salary in regional education inside the regulated sphere
